game_id,color,team_id,team_region,player_id,player_tag,core_shots,core_goals,core_saves,core_assists,core_score,core_shooting_percentage,boost_bpm,boost_bcpm,boost_avg_amount,boost_amount_collected,boost_amount_stolen,boost_amount_collected_big,boost_amount_stolen_big,boost_amount_collected_small,boost_amount_stolen_small,boost_count_collected_big,boost_count_stolen_big,boost_count_collected_small,boost_count_stolen_small,boost_amount_overfill,boost_amount_overfill_stolen,boost_amount_used_while_supersonic,boost_time_zero_boost,boost_percent_zero_boost,boost_time_full_boost,boost_percent_full_boost,boost_time_boost_0_25,boost_time_boost_25_50,boost_time_boost_50_75,boost_time_boost_75_100,boost_percent_boost_0_25,boost_percent_boost_25_50,boost_percent_boost_50_75,boost_percent_boost_75_100,movement_avg_speed,movement_total_distance,movement_time_supersonic_speed,movement_time_boost_speed,movement_time_slow_speed,movement_time_ground,movement_time_low_air,movement_time_high_air,movement_time_powerslide,movement_count_powerslide,movement_avg_powerslide_duration,movement_avg_speed_percentage,movement_percent_slow_speed,movement_percent_boost_speed,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_low_air,movement_percent_high_air,positioning_avg_distance_to_ball,positioning_avg_distance_to_ball_possession,positioning_avg_distance_to_ball_no_possession,positioning_avg_distance_to_mates,positioning_time_defensive_third,positioning_time_neutral_third,positioning_time_offensive_third,positioning_time_defensive_half,positioning_time_offensive_half,positioning_time_behind_ball,positioning_time_in_front_ball,positioning_time_most_back,positioning_time_most_forward,positioning_goals_against_while_last_defender,positioning_time_closest_to_ball,positioning_time_farthest_from_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,positioning_percent_neutral_third,positioning_percent_defensive_half,positioning_percent_offensive_half,positioning_percent_behind_ball,positioning_percent_in_front_ball,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,demo_inflicted,demo_taken,advanced_goal_participation,advanced_rating,advanced_mvp,winner,platform,platform_id,car_id,car_name,steering_sensitivity,camera_fov,camera_height,camera_pitch,camera_distance,camera_stiffness,camera_swivel_speed,camera_transition_speed
62ed707dc437fde7e02daaf0,blue,6020bc70f1e4807cc70023e9,Europe,5f3d8fdd95f40596eae23eb5,Scrub Killa,2,1,1,0,394,50.0,444.0,453.09747,49.05,2655.0,660.0,2105.0,423.0,550.0,237.0,25.0,5.0,52.0,23.0,321.0,78.0,268.0,33.25,9.457308,38.89,11.061494,128.01,76.63,42.23,112.25,35.645466,21.33827,11.7593,31.256962,1653.0,574969.0,55.41,187.72,120.15,182.72,143.25,37.31,5.75,47.0,0.12,71.86957,33.07366,51.67364,15.252698,50.29729,39.432392,10.270315,3252.0,3019.0,3536.0,3989.0,160.29,128.98,74.01,231.01,132.27,261.36,101.92,110.2,136.7,0.0,129.2,123.7,44.122993,20.372717,35.5043,63.59007,36.40993,71.9445,28.055496,31.34422,38.881622,36.748394,35.18403,0.0,0.0,100.0,1.0951930941826364,FALSE,FALSE,steam,76561198089298636,23,Octane,1.4,110.0,100.0,-4.0,270.0,0.4,6.8,1.3
62ed707dc437fde7e02daaf0,blue,6020bc70f1e4807cc70023e9,Europe,5f3d8fdd95f40596eae24163,Joreuz,4,0,2,0,245,0.0,370.0,389.78326,49.36,2284.0,256.0,1424.0,41.0,860.0,215.0,16.0,1.0,78.0,20.0,216.0,60.0,200.0,52.21,14.850106,32.51,9.246828,146.2,70.02,60.68,81.27,40.818607,19.549376,16.941677,22.690342,1445.0,500005.0,40.35,130.69,189.26,213.37,122.74,24.2,07.08,43.0,0.16,62.826088,52.528446,36.27255,11.198999,59.218452,34.06511,6.716439,3139.0,3081.0,3213.0,3806.0,171.84,132.76,55.7,252.5,107.81,288.37,71.94,138.4,70.0,1.0,107.0,105.3,47.693592,15.45934,36.84707,70.078545,29.921457,80.03386,19.96614,39.36515,19.91012,30.434042,29.95051,0.0,1.0,0.0,0.48430393364773977,FALSE,FALSE,steam,76561198974429177,23,Octane,1.85,110.0,100.0,-5.0,270.0,0.4,4.5,1.3
62ed707dc437fde7e02daaf0,blue,6020bc70f1e4807cc70023e9,Europe,5f3d8fdd95f40596eae24161,ApparentlyJack,3,0,1,1,210,0.0,456.0,475.28302,52.28,2785.0,726.0,1971.0,538.0,814.0,188.0,24.0,6.0,66.0,16.0,461.0,63.0,331.0,50.41,14.338131,44.13,12.551909,108.83,82.16,44.85,118.41,30.721243,23.192661,12.66055,33.42555,1569.0,542649.0,67.41,137.14,155.69,179.82,151.23,29.19,7.66,85.0,0.09,68.21739,43.218407,38.06906,18.712524,49.916725,41.980347,8.102932,3197.0,3245.0,3148.0,4033.0,140.59,134.13,85.53,207.2,153.04,249.58,110.66,104.6,141.1,1.0,111.7,124.3,39.025677,23.741846,37.23248,57.517212,42.482788,69.28159,30.71841,29.75141,40.133118,31.770864,35.354687,0.0,1.0,100.0,0.8397311447025856,FALSE,FALSE,steam,76561199023677910,23,Octane,1.4,110.0,100.0,-5.0,270.0,0.4,1.8,1.3
62ed707dc437fde7e02daaf0,orange,62c31e31c437fde7e02da193,North America,5f99caa2786e9eb85284bf05,mist,3,2,2,0,547,66.66666666666666,393.0,389.6126,50.81,2283.0,215.0,1550.0,94.0,733.0,121.0,19.0,1.0,61.0,12.0,310.0,10.0,240.0,36.66,10.427215,42.51,12.091132,114.35,77.73,78.59,86.66,32.001232,21.753004,21.993675,24.252092,1579.0,550961.0,78.99,126.6,157.58,191.79,144.0,27.38,7.87,60.0,0.13,68.652176,43.39015,34.85971,21.750145,52.809982,39.650852,7.5391693,3113.0,3136.0,3212.0,3784.0,214.76,90.54,57.87,266.81,96.36,285.49,77.69,150.6,106.7,0.0,109.9,128.7,59.13484,15.934686,24.930473,73.46697,26.53303,78.608406,21.391598,42.835205,30.348713,31.25889,36.60618,0.0,0.0,100.0,1.610200173895706,TRUE,TRUE,steam,"7,65612E+16",23,Octane,1.3,109.0,100.0,-3.0,270.0,0.4,4.4,1.2
62ed707dc437fde7e02daaf0,orange,62c31e31c437fde7e02da193,North America,5f3d8fdd95f40596eae23d91,Allushin,2,0,2,1,387,0.0,403.0,406.67844,47.43,2383.0,386.0,1541.0,200.0,842.0,186.0,18.0,2.0,80.0,19.0,298.0,19.0,267.0,53.27,15.151602,30.14,8.572729,139.61,57.77,87.23,74.19,38.910255,16.100891,24.311592,20.677256,1554.0,542514.0,51.66,156.91,154.63,212.71,121.34,29.16,8.81,90.0,0.1,67.565216,42.574337,43.20209,14.223568,58.56392,33.407673,8.028414,2767.0,2482.0,3045.0,3524.0,187.81,110.64,64.76,251.68,111.53,249.87,113.34,86.6,132.2,0.0,122.7,91.6,51.708374,17.829905,30.461714,69.29325,30.706755,68.794914,31.20509,24.631664,37.601685,34.899597,26.053816,1.0,0.0,50.0,0.8256763543696224,FALSE,TRUE,steam,76561198341071770,4284,Fennec,1.5,110.0,100.0,-5.0,270.0,0.45,5.0,1.0
62ed707dc437fde7e02daaf0,orange,62c31e31c437fde7e02da193,North America,5f6a65e5a882dc387d010529,dreaz,2,0,3,0,361,0.0,534.0,551.90857,48.93,3234.0,827.0,2574.0,698.0,660.0,129.0,29.0,7.0,61.0,11.0,289.0,1.0,690.0,50.74,14.4319935,17.39,4.946243,143.18,79.27,61.58,73.3,40.069405,22.183977,17.233372,20.513254,1717.0,598336.0,87.09,162.88,113.35,184.01,131.79,47.51,09.08,101.0,0.09,74.652176,31.198393,44.831,23.970604,50.64821,36.274803,13.076986,2974.0,2552.0,3153.0,3740.0,192.49,109.77,61.06,259.01,104.3,261.28,102.03,109.6,108.3,1.0,114.1,126.6,52.980843,16.806122,30.213036,71.29173,28.708265,71.91654,28.083456,31.173561,30.8038,32.453495,36.008877,1.0,0.0,0.0,0.5135996587362424,FALSE,TRUE,steam,76561198796238714,23,Octane,1.95,110.0,100.0,-5.0,270.0,0.4,8.0,1.2
62ed775bc437fde7e02daafe,blue,6020bc70f1e4807cc70023e9,Europe,5f3d8fdd95f40596eae23eb5,Scrub Killa,0,0,2,2,433,0.0,340.0,336.21368,41.01,1926.0,278.0,1208.0,100.0,718.0,178.0,13.0,1.0,64.0,17.0,101.0,0.0,112.0,58.58,17.043438,14.73,4.2855897,153.38,79.51,38.36,78.43,43.86296,22.737932,10.97003,22.42908,1562.0,525499.0,48.64,153.06,156.97,195.98,137.32,25.37,07.07,59.0,0.12,67.91304,43.764465,42.674328,13.561213,54.64076,38.285892,7.0733547,3228.0,2972.0,3370.0,4038.0,185.95,109.52,63.2,249.18,109.5,265.26,93.41,118.9,131.1,0.0,109.6,127.1,51.844315,17.620655,30.535034,69.4714,30.528606,73.95656,26.043438,34.593117,38.142624,31.887348,36.978848,0.0,1.0,100.0,1.1299670446776602,FALSE,FALSE,steam,76561198089298636,23,Octane,1.4,110.0,100.0,-4.0,270.0,0.4,6.8,1.3
62ed775bc437fde7e02daafe,blue,6020bc70f1e4807cc70023e9,Europe,5f3d8fdd95f40596eae24161,ApparentlyJack,4,2,1,0,412,50.0,402.0,405.34174,50.49,2322.0,613.0,1529.0,380.0,793.0,233.0,18.0,4.0,63.0,21.0,300.0,32.0,425.0,36.1,10.50304,31.33,9.115243,86.99,104.71,55.82,104.09,24.74048,29.780155,15.875545,29.603823,1450.0,492194.0,48.56,126.22,186.89,202.9,134.55,24.22,7.18,72.0,0.1,63.04348,51.67418,34.89922,13.426605,56.100864,37.20242,6.696712,3008.0,2979.0,3041.0,3743.0,195.42,93.62,72.63,241.78,119.9,262.27,99.4,129.5,97.7,2.0,116.4,112.5,54.032684,20.081842,25.885477,66.84915,33.150852,72.51638,27.48362,37.677113,28.425127,33.86576,32.731083,0.0,0.0,100.0,1.4232236985263125,FALSE,FALSE,steam,76561199023677910,23,Octane,1.4,110.0,100.0,-5.0,270.0,0.4,1.8,1.3
62ed775bc437fde7e02daafe,blue,6020bc70f1e4807cc70023e9,Europe,5f3d8fdd95f40596eae24163,Joreuz,2,0,1,0,198,0.0,380.0,378.63315,48.94,2169.0,292.0,1430.0,100.0,739.0,192.0,16.0,1.0,68.0,18.0,229.0,14.0,130.0,45.98,13.377557,31.57,9.185069,127.94,82.88,57.7,72.76,37.488277,24.285042,16.906937,21.319736,1498.0,490453.0,55.66,121.35,172.57,188.96,141.44,19.16,6.93,44.0,0.16,65.13043,49.36495,34.71308,15.921963,54.056522,40.46229,5.481176,3083.0,3154.0,3028.0,3767.0,175.46,120.12,53.99,247.65,101.92,247.77,101.8,102.5,107.5,1.0,110.3,108.4,50.193092,15.444689,34.362217,70.84418,29.155819,70.87851,29.121492,29.821653,31.276367,32.091007,31.538216,0.0,4.0,0.0,0.2713152027222583,FALSE,FALSE,steam,76561198974429177,23,Octane,1.85,110.0,100.0,-5.0,270.0,0.4,4.5,1.3
62ed775bc437fde7e02daafe,orange,62c31e31c437fde7e02da193,North America,5f3d8fdd95f40596eae23d91,Allushin,3,2,1,0,467,66.66666666666666,462.0,470.28018,49.7,2694.0,827.0,1669.0,527.0,1025.0,300.0,22.0,8.0,91.0,27.0,583.0,292.0,638.0,33.3,9.6884,27.63,8.0387535,95.17,113.19,65.96,75.75,27.185991,32.333534,18.841946,21.638529,1632.0,553975.0,62.12,164.82,134.73,234.31,114.23,13.13,8.1,81.0,0.1,70.95652,37.252193,45.571934,17.175879,64.785576,31.58404,3.630381,2817.0,2714.0,2896.0,3544.0,144.62,131.59,85.46,205.65,156.02,249.51,112.16,97.8,129.0,0.0,105.9,102.4,39.98673,23.629276,36.384,56.86123,43.138775,68.988304,31.011698,28.454222,37.53164,30.81086,29.792559,4.0,0.0,66.66666666666666,1.4099711880276,TRUE,TRUE,steam,76561198341071770,4284,Fennec,1.5,110.0,100.0,-5.0,270.0,0.45,5.0,1.0
