color,team_region,player_tag,core_shots,core_goals,core_saves,core_assists,core_score,core_shooting_percentage,positioning_avg_distance_to_ball,demo_inflicted,demo_taken,winner,car_name
orange,North America,Squishy,2,1,2,1,447,50.0,3496.0,0.0,0.0,TRUE,Octane
orange,North America,GarrettG,3,1,2,0,424,33.33333333333333,2739.0,1.0,1.0,TRUE,Fennec
orange,North America,jstn.,0,0,2,0,271,0.0,2781.0,0.0,2.0,TRUE,Octane
blue,Europe,ExoTiiK,1,0,3,0,413,0.0,2752.0,1.0,1.0,FALSE,Fennec
blue,Europe,Kassio,1,0,1,0,229,0.0,2962.0,0.0,2.0,FALSE,Octane
blue,Europe,Chausette45,2,0,2,0,218,0.0,2789.0,1.0,0.0,FALSE,Octane
orange,North America,Squishy,3,1,1,0,336,33.33333333333333,3463.0,1.0,1.0,TRUE,Octane
orange,North America,jstn.,3,0,2,1,317,0.0,2971.0,0.0,1.0,TRUE,Octane
orange,North America,GarrettG,2,0,0,0,146,0.0,2905.0,2.0,0.0,TRUE,Fennec
blue,North America,Chicago,4,1,2,0,432,25.0,3133.0,0.0,2.0,TRUE,Octane
