color,team_region,player_tag,core_shots,core_goals,core_saves,core_assists,core_score,core_shooting_percentage,positioning_avg_distance_to_ball,demo_inflicted,demo_taken,winner,car_name
orange,Oceania,CJCJ,0,0,0,0,140,0.0,3285.0,1.0,1.0,FALSE,Fennec
blue,Europe,Seikoo,4,2,2,0,508,50.0,2798.0,2.0,2.0,TRUE,Fennec
blue,Europe,M0nkey M00n,2,0,2,2,389,0.0,2376.0,1.0,0.0,TRUE,Octane
blue,Europe,Extra,2,1,2,0,310,50.0,2538.0,1.0,1.0,TRUE,Fennec
orange,Oceania,CJCJ,4,0,3,0,354,0.0,3170.0,0.0,0.0,FALSE,Fennec
orange,Oceania,Kamii,2,0,2,0,220,0.0,3014.0,1.0,1.0,FALSE,Octane
orange,Oceania,Fever,1,0,0,0,150,0.0,2505.0,2.0,3.0,FALSE,Fennec
blue,Europe,Seikoo,1,0,4,0,461,0.0,2989.0,0.0,2.0,FALSE,Fennec
blue,Europe,Extra,1,0,4,0,345,0.0,2530.0,1.0,2.0,FALSE,Fennec
blue,Europe,M0nkey M00n,3,0,2,0,246,0.0,2678.0,3.0,1.0,FALSE,Octane
orange,Oceania,Fever,4,1,2,1,491,25.0,2916.0,2.0,1.0,TRUE,Fennec
orange,Oceania,Kamii,5,1,2,0,350,20.0,3319.0,2.0,2.0,TRUE,Octane
orange,Oceania,CJCJ,3,0,1,1,286,0.0,2647.0,1.0,1.0,TRUE,Fennec
blue,Europe,Seikoo,7,3,0,0,614,42.857142857142854,2773.0,0.0,2.0,TRUE,Fennec
blue,Europe,M0nkey M00n,3,0,1,2,345,0.0,2856.0,1.0,2.0,TRUE,Octane
blue,Europe,Extra,1,0,1,1,331,0.0,2638.0,1.0,2.0,TRUE,Fennec
orange,Oceania,Kamii,3,1,3,1,536,33.33333333333333,3100.0,3.0,0.0,FALSE,Octane
orange,Oceania,CJCJ,2,1,0,1,330,50.0,2766.0,2.0,0.0,FALSE,Fennec
orange,Oceania,Fever,0,0,1,0,319,0.0,2522.0,1.0,2.0,FALSE,Fennec
blue,Europe,Seikoo,4,2,1,0,430,50.0,3107.0,0.0,1.0,TRUE,Fennec
blue,Europe,M0nkey M00n,4,0,1,1,296,0.0,2698.0,1.0,0.0,TRUE,Octane
blue,Europe,Extra,0,0,1,0,118,0.0,3023.0,0.0,2.0,TRUE,Fennec
orange,Oceania,Kamii,3,0,2,1,339,0.0,2910.0,2.0,0.0,FALSE,Octane
orange,Oceania,CJCJ,1,1,1,0,322,100.0,3068.0,1.0,0.0,FALSE,Fennec
orange,Oceania,Fever,0,0,2,0,215,0.0,2849.0,0.0,1.0,FALSE,Fennec
blue,North America,jstn.,1,0,2,0,260,0.0,2649.0,2.0,1.0,FALSE,Octane
blue,North America,Squishy,1,0,0,0,226,0.0,3307.0,1.0,1.0,FALSE,Octane
blue,North America,GarrettG,5,0,1,0,196,0.0,3116.0,2.0,1.0,FALSE,Fennec
orange,North America,Comm,3,1,2,0,397,33.33333333333333,2940.0,1.0,0.0,TRUE,Fennec
orange,North America,BeastMode,1,0,2,0,309,0.0,2684.0,2.0,3.0,TRUE,Fennec
orange,North America,Torment,1,0,1,1,254,0.0,3410.0,0.0,2.0,TRUE,Octane
blue,North America,GarrettG,1,0,5,0,492,0.0,2738.0,2.0,2.0,FALSE,Fennec
blue,North America,jstn.,0,0,1,0,120,0.0,3104.0,1.0,3.0,FALSE,Octane
blue,North America,Squishy,1,0,0,0,100,0.0,3297.0,0.0,2.0,FALSE,Octane
orange,North America,BeastMode,2,1,1,0,352,50.0,2561.0,1.0,0.0,TRUE,Fennec
orange,North America,Torment,3,0,0,1,178,0.0,2949.0,1.0,0.0,TRUE,Octane
orange,North America,Comm,2,0,0,0,112,0.0,3198.0,5.0,3.0,TRUE,Fennec
blue,North America,jstn.,4,1,3,0,631,25.0,2953.0,1.0,1.0,FALSE,Fennec
blue,North America,GarrettG,5,0,3,1,498,0.0,2678.0,2.0,0.0,FALSE,Fennec
blue,North America,Squishy,3,0,0,0,192,0.0,3411.0,1.0,2.0,FALSE,Octane
orange,North America,BeastMode,7,1,3,1,640,14.285714285714285,2744.0,1.0,0.0,TRUE,Fennec
orange,North America,Comm,2,1,4,0,621,50.0,2843.0,2.0,1.0,TRUE,Fennec
orange,North America,Torment,1,0,0,0,204,0.0,3100.0,0.0,3.0,TRUE,Octane
blue,North America,Squishy,3,1,1,0,353,33.33333333333333,2847.0,2.0,2.0,FALSE,Octane
blue,North America,jstn.,5,0,0,1,278,0.0,2858.0,0.0,0.0,FALSE,Fennec
blue,North America,GarrettG,3,0,2,0,273,0.0,2737.0,4.0,0.0,FALSE,Octane
orange,North America,Torment,1,1,4,0,599,100.0,3202.0,0.0,0.0,TRUE,Octane
orange,North America,BeastMode,3,1,1,0,406,33.33333333333333,2524.0,0.0,3.0,TRUE,Fennec
orange,North America,Comm,3,0,3,1,403,0.0,2930.0,2.0,3.0,TRUE,Fennec
blue,Europe,Joyo,4,1,2,0,521,25.0,3060.0,1.0,1.0,TRUE,Octane
blue,Europe,rise.,6,2,1,0,451,33.33333333333333,2865.0,2.0,0.0,TRUE,Octane
blue,Europe,Vatira,2,0,0,2,408,0.0,2782.0,2.0,2.0,TRUE,Fennec
orange,Europe,ExoTiiK,1,1,4,0,535,100.0,2685.0,0.0,2.0,FALSE,Fennec
orange,Europe,Kassio,5,1,2,0,420,20.0,2998.0,1.0,1.0,FALSE,Octane
orange,Europe,Chausette45,1,0,2,1,356,0.0,2909.0,2.0,2.0,FALSE,Fennec
blue,Europe,Vatira,5,1,2,0,399,20.0,3277.0,0.0,1.0,TRUE,Fennec
blue,Europe,Joyo,5,0,1,1,374,0.0,2919.0,1.0,0.0,TRUE,Octane
blue,Europe,rise.,1,0,0,0,82,0.0,2859.0,1.0,1.0,TRUE,Octane
orange,Europe,Kassio,2,0,1,0,267,0.0,2756.0,1.0,0.0,FALSE,Octane
orange,Europe,Chausette45,0,0,2,0,246,0.0,2421.0,1.0,0.0,FALSE,Fennec
orange,Europe,ExoTiiK,1,0,2,0,246,0.0,2860.0,0.0,2.0,FALSE,Fennec
blue,Europe,rise.,8,3,1,0,591,37.5,2702.0,0.0,0.0,TRUE,Octane
blue,Europe,Vatira,3,1,3,2,565,33.33333333333333,2695.0,3.0,0.0,TRUE,Fennec
blue,Europe,Joyo,2,1,2,3,564,50.0,2746.0,1.0,0.0,TRUE,Octane
orange,Europe,ExoTiiK,3,0,2,0,296,0.0,2437.0,0.0,1.0,FALSE,Fennec
orange,Europe,Kassio,3,0,3,0,267,0.0,3165.0,0.0,2.0,FALSE,Octane
orange,Europe,Chausette45,2,0,1,0,196,0.0,2591.0,0.0,1.0,FALSE,Fennec
blue,Europe,Joyo,3,1,3,0,511,33.33333333333333,2933.0,1.0,1.0,TRUE,Octane
blue,Europe,rise.,4,1,2,1,408,25.0,2882.0,1.0,0.0,TRUE,Octane
blue,Europe,Vatira,0,0,1,0,186,0.0,2802.0,2.0,0.0,TRUE,Fennec
orange,Europe,ExoTiiK,2,0,1,0,310,0.0,2499.0,0.0,2.0,FALSE,Fennec
orange,Europe,Kassio,2,0,1,0,259,0.0,2640.0,1.0,0.0,FALSE,Octane
orange,Europe,Chausette45,2,0,1,0,194,0.0,2792.0,0.0,2.0,FALSE,Fennec
blue,Europe,Seikoo,5,2,1,0,489,40.0,2697.0,1.0,0.0,TRUE,Fennec
blue,Europe,Extra,4,0,2,0,276,0.0,2763.0,1.0,1.0,TRUE,Fennec
blue,Europe,M0nkey M00n,7,0,0,1,252,0.0,2924.0,3.0,3.0,TRUE,Octane
orange,North America,Torment,1,0,7,0,645,0.0,2923.0,1.0,2.0,FALSE,Octane
orange,North America,BeastMode,1,0,2,0,271,0.0,2802.0,1.0,3.0,FALSE,Fennec
orange,North America,Comm,2,0,2,0,212,0.0,2528.0,2.0,0.0,FALSE,Fennec
blue,Europe,Seikoo,2,0,7,0,768,0.0,2608.0,1.0,2.0,TRUE,Fennec
blue,Europe,Extra,4,1,1,0,409,25.0,2511.0,1.0,2.0,TRUE,Fennec
blue,Europe,M0nkey M00n,0,0,2,0,373,0.0,2581.0,2.0,1.0,TRUE,Octane
orange,North America,Comm,3,0,3,0,501,0.0,2941.0,3.0,0.0,FALSE,Fennec
orange,North America,Torment,3,0,0,0,252,0.0,2990.0,2.0,0.0,FALSE,Octane
orange,North America,BeastMode,4,0,0,0,210,0.0,2716.0,0.0,4.0,FALSE,Fennec
blue,Europe,Seikoo,5,3,1,2,637,60.0,3326.0,1.0,2.0,TRUE,Fennec
blue,Europe,M0nkey M00n,3,2,2,2,514,66.66666666666666,2741.0,1.0,1.0,TRUE,Octane
blue,Europe,Extra,3,0,0,1,220,0.0,2816.0,2.0,2.0,TRUE,Fennec
orange,North America,Torment,4,1,1,0,316,25.0,2993.0,2.0,1.0,FALSE,Octane
orange,North America,BeastMode,0,0,2,0,276,0.0,2648.0,3.0,3.0,FALSE,Octane
orange,North America,Comm,0,0,0,0,142,0.0,2864.0,0.0,0.0,FALSE,Fennec
blue,Europe,M0nkey M00n,4,2,1,1,495,50.0,2897.0,1.0,0.0,TRUE,Octane
blue,Europe,Seikoo,3,1,2,1,426,33.33333333333333,3176.0,1.0,2.0,TRUE,Fennec
blue,Europe,Extra,2,1,1,1,381,50.0,2746.0,0.0,0.0,TRUE,Fennec
orange,North America,Torment,0,0,3,0,352,0.0,2983.0,0.0,0.0,FALSE,Octane
orange,North America,BeastMode,2,0,2,0,279,0.0,2873.0,1.0,1.0,FALSE,Octane
orange,North America,Comm,3,0,0,0,148,0.0,2728.0,1.0,1.0,FALSE,Octane
blue,North America,retals,4,1,3,1,484,25.0,2884.0,2.0,1.0,TRUE,Octane
blue,North America,Arsenal,2,1,3,0,436,50.0,2883.0,1.0,3.0,TRUE,Fennec
blue,North America,Daniel,2,1,0,1,374,50.0,2713.0,0.0,1.0,TRUE,Fennec
orange,Europe,RelatingWave,2,1,2,0,409,50.0,2795.0,1.0,2.0,FALSE,Octane
orange,Europe,Archie,3,0,2,1,309,0.0,2828.0,4.0,1.0,FALSE,Fennec
orange,Europe,Metsanauris,4,0,0,0,192,0.0,2598.0,0.0,0.0,FALSE,Octane
blue,North America,Arsenal,5,4,1,0,653,80.0,3071.0,2.0,1.0,TRUE,Fennec
blue,North America,Daniel,2,0,5,2,559,0.0,2988.0,2.0,1.0,TRUE,Fennec
blue,North America,retals,2,0,1,1,313,0.0,2671.0,4.0,1.0,TRUE,Octane
orange,Europe,Archie,3,1,1,1,344,33.33333333333333,2671.0,0.0,3.0,FALSE,Fennec
orange,Europe,RelatingWave,4,1,1,0,338,25.0,3048.0,1.0,3.0,FALSE,Octane
orange,Europe,Metsanauris,5,0,0,1,218,0.0,2493.0,2.0,2.0,FALSE,Octane
blue,North America,retals,1,0,3,1,428,0.0,2839.0,3.0,1.0,TRUE,Octane
blue,North America,Daniel,3,1,2,0,419,33.33333333333333,2850.0,0.0,0.0,TRUE,Fennec
blue,North America,Arsenal,2,1,1,1,316,50.0,2857.0,2.0,1.0,TRUE,Fennec
orange,Europe,Archie,2,0,2,0,270,0.0,2841.0,2.0,2.0,FALSE,Fennec
orange,Europe,RelatingWave,3,0,1,0,184,0.0,2867.0,0.0,1.0,FALSE,Octane
orange,Europe,Metsanauris,1,0,0,0,118,0.0,2728.0,0.0,2.0,FALSE,Octane
blue,North America,Arsenal,5,2,1,1,518,40.0,2489.0,0.0,1.0,TRUE,Fennec
blue,North America,retals,3,1,1,0,375,33.33333333333333,2964.0,2.0,1.0,TRUE,Octane
